stat,mt_event_level_e_None,mt_event_level_e_0.01,mt_event_level_e_0.1,mt_event_level_e_1,mt_event_level_e_10,mt_event_level_e_100,mt_1_e_None,mt_1_e_0.01,mt_1_e_0.1,mt_1_e_1,mt_1_e_10,mt_1_e_100,mt_2_e_None,mt_2_e_0.01,mt_2_e_0.1,mt_2_e_1,mt_2_e_10,mt_2_e_100,mt_4_e_None,mt_4_e_0.01,mt_4_e_0.1,mt_4_e_1,mt_4_e_10,mt_4_e_100,mt_5_e_None,mt_5_e_0.01,mt_5_e_0.1,mt_5_e_1,mt_5_e_10,mt_5_e_100,mt_20_e_None,mt_20_e_0.01,mt_20_e_0.1,mt_20_e_1,mt_20_e_10,mt_20_e_100
lng,0.0,0.136,0.0,0.0,0.0,0.0,0.006,0.256,0.0,0.0,0.0,0.0,0.003,0.215,0.0,0.0,0.0,0.0,0.003,0.535,0.0,0.0,0.0,0.0,0.005,2.211,0.0,0.0,0.0,0.0,0.0,3.283,0.303,0.0,0.0,0.0
trips_over_time_mre,0.0,0.044,0.013,0.001,0.0,0.0,0.0,0.035,0.01,0.001,0.0,0.0,0.0,0.052,0.012,0.002,0.0,0.0,0.0,0.06,0.046,0.005,0.0,0.0,0.0,0.063,0.039,0.004,0.0,0.0,0.0,0.394,0.056,0.016,0.001,0.0
trips_over_time_quartiles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trips_per_weekday,0.0,0.081,0.016,0.002,0.001,0.0,0.017,0.132,0.062,0.016,0.015,0.019,0.008,0.126,0.048,0.013,0.012,0.008,0.004,0.075,0.066,0.005,0.006,0.004,0.003,0.144,0.117,0.004,0.003,0.002,0.0,0.043,0.13,0.036,0.003,0.0
trips_per_hour,0.0,0.042,0.033,0.003,0.0,0.0,0.008,0.032,0.031,0.012,0.018,0.016,0.006,0.034,0.038,0.012,0.005,0.005,0.003,0.039,0.03,0.01,0.004,0.003,0.002,0.033,0.048,0.012,0.003,0.002,0.0,0.038,0.051,0.035,0.004,0.0
counts_per_tile_smape,0.0,0.013,0.007,0.004,0.002,0.0,0.002,0.017,0.012,0.004,0.002,0.002,0.001,0.023,0.011,0.004,0.003,0.002,0.001,0.015,0.01,0.007,0.005,0.001,0.001,0.017,0.009,0.008,0.004,0.001,0.0,0.012,0.017,0.011,0.005,0.003
rel_counts_per_tile_smape,0.0,0.012,0.007,0.004,0.002,0.0,0.002,0.019,0.012,0.003,0.003,0.002,0.001,0.023,0.008,0.003,0.003,0.002,0.001,0.02,0.01,0.007,0.004,0.001,0.001,0.02,0.009,0.008,0.004,0.001,0.0,0.019,0.016,0.011,0.005,0.003
counts_per_tile_emd,0.0,136.52,27.965,3.901,1.806,0.0,23.343,375.994,38.842,20.232,16.858,22.641,18.362,394.841,41.65,14.126,15.103,13.482,14.001,251.027,53.804,13.223,13.191,10.18,7.992,439.212,84.461,23.79,12.527,18.032,0.0,408.956,160.822,36.444,5.219,3.131
counts_per_tile_outliers,0.0,0.135,0.01,0.001,0.0,0.0,0.005,0.204,0.015,0.005,0.005,0.004,0.004,0.168,0.026,0.006,0.008,0.004,0.003,0.372,0.032,0.006,0.003,0.003,0.002,0.452,0.033,0.004,0.002,0.002,0.0,0.824,0.182,0.021,0.002,0.0
counts_per_tile_quartiles,0.0,0.175,0.255,0.188,0.012,0.0,0.004,0.301,0.185,0.203,0.006,0.004,0.002,0.156,0.12,0.188,0.02,0.003,0.001,0.246,0.231,0.248,0.032,0.007,0.001,0.217,0.077,0.189,0.188,0.008,0.0,0.047,0.154,0.29,0.213,0.027
counts_per_tile_timewindow_emd,0.0,231.654,127.204,37.943,2.289,0.0,16.564,184.592,147.801,129.615,46.19,45.658,28.647,234.703,71.323,115.578,27.753,27.708,6.632,230.372,107.85,108.791,37.209,7.902,6.385,305.675,211.181,116.152,70.572,4.099,0.0,219.318,214.0,192.616,99.452,23.834
counts_per_tile_timewindow,0.0,0.008,0.006,0.006,0.001,0.0,0.004,0.011,0.006,0.005,0.004,0.003,0.003,0.009,0.007,0.007,0.003,0.002,0.001,0.007,0.01,0.007,0.004,0.001,0.001,0.009,0.007,0.006,0.004,0.001,0.0,0.004,0.008,0.005,0.006,0.002
rel_counts_per_tile_timewindow,0.0,0.009,0.006,0.006,0.001,0.0,0.004,0.011,0.006,0.005,0.002,0.003,0.003,0.011,0.007,0.006,0.003,0.003,0.001,0.009,0.01,0.007,0.004,0.001,0.001,0.007,0.009,0.007,0.004,0.001,0.0,0.007,0.009,0.005,0.006,0.002
od_flows,0.0,0.0,0.0,0.001,0.002,0.0,0.001,0.0,0.001,0.001,0.001,0.001,0.001,0.0,0.001,0.0,0.001,0.001,0.001,0.0,0.0,0.0,0.001,0.001,0.001,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.002
rel_od_flows,0.0,0.0,0.0,0.0,0.002,0.0,0.001,0.0,0.0,0.0,0.001,0.001,0.001,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.0,0.0,0.001,0.001,0.001,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.003
