stat,mt_event_level_e_None,mt_event_level_e_0.01,mt_event_level_e_0.1,mt_event_level_e_1,mt_event_level_e_10,mt_event_level_e_100,mt_1_e_None,mt_1_e_0.01,mt_1_e_0.1,mt_1_e_1,mt_1_e_10,mt_1_e_100,mt_3_e_None,mt_3_e_0.01,mt_3_e_0.1,mt_3_e_1,mt_3_e_10,mt_3_e_100,mt_8_e_None,mt_8_e_0.01,mt_8_e_0.1,mt_8_e_1,mt_8_e_10,mt_8_e_100,mt_28_e_None,mt_28_e_0.01,mt_28_e_0.1,mt_28_e_1,mt_28_e_10,mt_28_e_100,mt_90_e_None,mt_90_e_0.01,mt_90_e_0.1,mt_90_e_1,mt_90_e_10,mt_90_e_100,mt_215_e_None,mt_215_e_0.01,mt_215_e_0.1,mt_215_e_1,mt_215_e_10,mt_215_e_100,mt_2153_e_None,mt_2153_e_0.01,mt_2153_e_0.1,mt_2153_e_1,mt_2153_e_10,mt_2153_e_100
traj_per_user_quartiles,0.0,1.148,1.082,0.458,0.041,0.013,1.474,1.474,1.474,1.474,1.474,1.474,1.276,1.476,1.429,1.395,1.276,1.276,0.951,1.228,1.238,1.06,0.951,0.951,0.599,1.233,1.215,0.793,0.617,0.603,0.37,1.212,1.228,0.607,0.386,0.372,0.327,1.306,1.155,0.5,0.348,0.34,0.0,1.206,1.015,0.421,0.031,0.014
traj_per_user_outliers,0.0,112.0,8.5,0.4,0.0,0.0,0.0,80.5,4.4,0.4,0.0,0.0,0.0,49.9,2.7,0.6,0.0,0.0,0.0,40.3,6.8,0.3,0.0,0.0,0.0,13.1,1.8,1.0,0.0,0.0,0.0,73.0,5.3,0.3,0.0,0.0,0.0,24.9,4.9,0.4,0.0,0.0,0.0,39.6,11.3,0.4,0.0,0.0
user_time_delta_quartiles,0.0,0.928,0.636,0.519,0.094,0.0,,,,,,,1.26,1.547,1.661,1.565,1.456,1.183,1.046,1.566,1.478,1.465,1.349,1.174,0.842,1.505,1.319,1.474,1.313,1.006,0.619,1.34,1.403,1.344,1.172,0.971,0.488,1.216,1.319,1.255,1.046,0.904,0.0,1.237,1.309,1.34,1.181,0.696
user_time_delta_outliers,0.0,0.012,0.002,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.981,0.983,0.98,0.981,0.981,0.981,0.94,0.972,0.941,0.94,0.94,0.941,0.824,0.58,0.824,0.826,0.823,0.824,0.609,0.778,0.667,0.606,0.609,0.609,0.408,1.631,0.471,0.381,0.407,0.408,0.0,21.111,2.675,0.129,0.026,0.002
radius_gyration_emd,0.0,2472.83,2312.18,920.134,126.222,0.0,2188.681,2844.369,3098.436,2456.826,2172.282,2137.251,938.054,2220.452,1541.549,1156.089,1092.657,955.824,478.551,2420.027,1988.525,983.647,486.306,468.461,270.857,2719.941,2002.517,973.682,299.265,265.426,215.162,2738.849,2664.105,916.464,259.14,208.458,118.773,2592.324,2411.789,1108.762,190.234,179.948,0.0,2226.801,1977.834,1127.742,187.856,0.0
radius_gyration_quartiles,0.0,0.722,0.764,0.349,0.033,0.006,1.136,1.241,1.29,1.036,1.129,1.132,0.393,0.796,0.652,0.488,0.374,0.348,0.098,0.794,0.757,0.499,0.13,0.101,0.042,0.769,0.8,0.375,0.065,0.028,0.015,0.923,0.791,0.498,0.057,0.016,0.006,0.857,0.826,0.52,0.066,0.012,0.0,0.736,0.659,0.498,0.053,0.006
radius_gyration_outliers,0.0,0.732,0.1,0.006,0.0,0.0,0.84,0.782,0.895,0.828,0.838,0.843,0.482,0.65,0.403,0.488,0.514,0.492,0.272,0.596,0.196,0.271,0.279,0.257,0.089,0.646,0.128,0.09,0.079,0.101,0.016,0.725,0.096,0.022,0.02,0.014,0.004,0.699,0.083,0.014,0.004,0.004,0.0,0.603,0.071,0.006,0.0,0.0
location_entropy_mre,0.0,1.514,1.206,0.538,0.134,0.135,1.079,1.167,1.092,1.065,1.08,1.079,0.984,1.192,1.147,1.022,0.969,0.979,0.858,1.212,1.191,1.07,0.895,0.855,0.667,1.289,1.272,1.222,1.039,0.772,0.472,1.362,1.365,1.344,1.266,0.99,0.313,1.439,1.453,1.444,1.401,1.228,0.0,1.593,1.606,1.607,1.6,1.57
user_tile_count_emd,16.408,16.221,16.221,16.308,16.408,16.408,16.408,16.258,16.158,16.408,16.408,16.408,14.696,15.153,15.079,14.677,14.764,14.724,13.009,12.754,13.287,13.178,13.037,13.044,10.306,12.47,11.59,10.626,10.286,10.266,8.178,11.078,10.242,8.573,8.357,8.245,6.651,11.414,9.887,7.897,6.92,6.741,0.0,13.848,13.992,5.068,2.767,0.0
user_tile_count_quartiles,1.188,1.168,1.235,1.207,1.167,1.188,1.188,1.21,1.209,1.156,1.188,1.188,0.939,1.037,1.063,0.964,0.94,0.939,0.698,0.983,1.006,0.762,0.708,0.706,0.47,0.973,0.93,0.546,0.475,0.467,0.281,0.958,0.895,0.488,0.286,0.288,0.186,0.976,0.969,0.4,0.19,0.182,0.0,0.959,0.89,0.3,0.052,0.0
uncorrelated_entropy_emd,0.0,0.147,0.129,0.036,0.0,0.0,0.263,0.335,0.323,0.256,0.263,0.267,0.181,0.239,0.185,0.185,0.176,0.179,0.128,0.204,0.184,0.128,0.128,0.124,0.055,0.156,0.125,0.074,0.055,0.056,0.017,0.143,0.113,0.04,0.017,0.018,0.004,0.15,0.125,0.046,0.004,0.004,0.0,0.22,0.118,0.045,0.0,0.0
uncorrelated_entropy_quartiles,0.0,0.543,0.459,0.202,0.004,0.002,0.512,0.84,0.568,0.483,0.512,0.512,0.164,0.522,0.397,0.241,0.158,0.164,0.122,0.467,0.536,0.24,0.123,0.119,0.057,0.546,0.501,0.234,0.058,0.06,0.022,0.547,0.483,0.157,0.022,0.022,0.008,0.545,0.543,0.128,0.01,0.009,0.0,0.428,0.499,0.28,0.003,0.002
